Frequency,PLV
6,0.06969543254150277
7,0.06969543254150277
8,0.06969543254150277
9,0.06969543254150277
10,0.06969543254150277
11,0.06969543254150277
12,0.06969543254150277
13,0.06969543254150277
14,0.06969543254150277
15,0.06969543254150277
16,0.06969543254150277
17,0.06969543254150277
18,0.06969543254150277
19,0.06969543254150277
20,0.06969543254150277
21,0.06969543254150277
22,0.06969543254150277
23,0.06969543254150277
24,0.06969543254150277
25,0.06969543254150277
26,0.06969543254150277
27,0.06969543254150277
28,0.06969543254150277
29,0.06969543254150277
