max,min,
0.007864046, 0.007864046,
0.007806647, 0.007806647,
0.007743223, 0.007743223,
0.0076768203, 0.0076768203,
0.0076224334, 0.0076224334,
0.0075545767, 0.0075545767,
0.0074957255, 0.0074957255,
0.007439864, 0.007439864,
0.007366178, 0.007366178,
0.0072999853, 0.0072999853,
0.0072367988, 0.0072367988,
0.007175131, 0.007175131,
0.0071046674, 0.0071046674,
0.007041627, 0.007041627,
0.006977175, 0.006977175,
0.0069040013, 0.0069040013,
0.006833844, 0.006833844,
0.0067594126, 0.0067594126,
0.006693805, 0.006693805,
0.0066239247, 0.0066239247,
0.0065483563, 0.0065483563,
0.006483003, 0.006483003,
0.006409098, 0.006409098,
0.006333879, 0.006333879,
0.0062559266, 0.0062559266,
0.0061781215, 0.0061781215,
0.0060976194, 0.0060976194,
0.0060272072, 0.0060272072,
0.0059554903, 0.0059554903,
0.0058711893, 0.0058711893,
0.0057913014, 0.0057913014,
0.005710178, 0.005710178,
0.0056264256, 0.0056264256,
0.0055428697, 0.0055428697,
0.0054525556, 0.0054525556,
0.0053874278, 0.0053874278,
0.005291978, 0.005291978,
0.005202312, 0.005202312,
0.0051073916, 0.0051073916,
0.005031918, 0.005031918,
0.004938859, 0.004938859,
0.0048569543, 0.0048569543,
0.004754926, 0.004754926,
0.004655948, 0.004655948,
0.0045680646, 0.0045680646,
0.0044656945, 0.0044656945,
0.0043797265, 0.0043797265,
0.00427007, 0.00427007,
0.004183396, 0.004183396,
0.004074557, 0.004074557,
0.003960929, 0.003960929,
0.0038622317, 0.0038622317,
0.003754822, 0.003754822,
0.0036557144, 0.0036557144,
0.003542833, 0.003542833,
0.003424108, 0.003424108,
0.0033201491, 0.0033201491,
0.0031988935, 0.0031988935,
0.0030847283, 0.0030847283,
0.0029674813, 0.0029674813,
0.0028422, 0.0028422,
0.0027165492, 0.0027165492,
0.0025855938, 0.0025855938,
0.0024643142, 0.0024643142,
0.0023378283, 0.0023378283,
0.0022209554, 0.0022209554,
0.002088016, 0.002088016,
0.0019599076, 0.0019599076,
0.001814934, 0.001814934,
0.0016797693, 0.0016797693,
0.0015400243, 0.0015400243,
0.0014147519, 0.0014147519,
0.0012649797, 0.0012649797,
0.0011122351, 0.0011122351,
0.0009833088, 0.0009833088,
0.00083402597, 0.00083402597,
0.0006842994, 0.0006842994,
0.00053306494, 0.00053306494,
0.00036574187, 0.00036574187,
0.00022420389, 0.00022420389,
7.569522e-5, 7.569522e-5,
7.184294e-5, 7.184294e-5,
0.00024580827, 0.00024580827,
0.00039328, 0.00039328,
0.0005515449, 0.0005515449,
0.0007213873, 0.0007213873,
0.0008652019, 0.0008652019,
0.0010342806, 0.0010342806,
0.001191272, 0.001191272,
0.0013561929, 0.0013561929,
0.0015195099, 0.0015195099,
0.0016904463, 0.0016904463,
0.00185453, 0.00185453,
0.002019953, 0.002019953,
0.002186639, 0.002186639,
0.0023564985, 0.0023564985,
0.0025274362, 0.0025274362,
0.0026817569, 0.0026817569,
0.0028567014, 0.0028567014,
0.0030286056, 0.0030286056,
0.003184098, 0.003184098,
0.0033576344, 0.0033576344,
0.0035393103, 0.0035393103,
0.0036990058, 0.0036990058,
0.0038704688, 0.0038704688,
0.004045993, 0.004045993,
0.00422902, 0.00422902,
0.004410238, 0.004410238,
0.0045824274, 0.0045824274,
0.0047652246, 0.0047652246,
0.004940654, 0.004940654,
0.0051122745, 0.0051122745,
0.0053059906, 0.0053059906,
0.0054748487, 0.0054748487,
0.005673719, 0.005673719,
0.005856239, 0.005856239,
0.006036068, 0.006036068,
0.0062280023, 0.0062280023,
0.0064184987, 0.0064184987,
0.0066236504, 0.0066236504,
0.0068380726, 0.0067947325,
0.0070136213, 0.0070136213,
0.0072094947, 0.0072094947,
0.007420208, 0.007420208,
0.007626555, 0.007626555,
0.007852838, 0.0078100767,
0.008042213, 0.008042213,
0.008277726, 0.008235851,
0.008471752, 0.008471752,
0.008699855, 0.008699855,
0.0089214025, 0.0089214025,
0.009187682, 0.009150485,
0.009404706, 0.009404706,
0.009699419, 0.009608601,
0.009902766, 0.009902766,
0.010193233, 0.01015916,
0.010448289, 0.010448289,
0.010750676, 0.010716159,
0.011023983, 0.011023983,
0.011323648, 0.011323648,
