max,min
0.007864046,0.007864046
0.007867059,0.007867059
0.007856488,0.007856488
0.0078398865,0.0078398865
0.007835353,0.007835353
0.007829316,0.007829316
0.007827798,0.007827798
0.00781874,0.00781874
0.007817221,0.007817221
0.0078096706,0.0078096706
0.007806647,0.007806647
0.007799096,0.007799096
0.007797573,0.007797573
0.0077840034,0.0077840034
0.0077749505,0.0077749505
0.007774933,0.007774933
0.00776889,0.00776889
0.0077598393,0.0077598393
0.007753801,0.007753801
0.00775528,0.00775528
0.007743223,0.007743223
0.0077356803,0.0077356803
0.007734151,0.007734151
0.007728106,0.007728106
0.0077250716,0.0077250716
0.0077100163,0.0077100163
0.007703978,0.007703978
0.007697938,0.007697938
0.007690397,0.007690397
0.0076903636,0.0076903636
0.0076768203,0.0076768203
0.0076767863,0.0076767863
0.0076737413,0.0076737413
0.0076677045,0.0076677045
0.0076616644,0.0076616644
0.0076481286,0.0076481286
0.0076480866,0.0076480866
0.007639049,0.007639049
0.0076345094,0.0076345094
0.0076314686,0.0076314686
0.0076224334,0.0076224334
0.0076193865,0.0076193865
0.007614847,0.007614847
0.0076073105,0.0076073105
0.007598279,0.007598279
0.0075982255,0.0075982255
0.0075891945,0.0075891945
0.0075801653,0.0075801653
0.0075771175,0.0075771175
0.0075621116,0.0075621116
0.0075545767,0.0075545767
0.007548545,0.007548545
0.0075425105,0.0075425105
0.007542453,0.007542453
0.007530445,0.007530445
0.0075229146,0.0075229146
0.007519868,0.007519868
0.0075078635,0.0075078635
0.007500336,0.007500336
0.0074943025,0.0074943025
0.0074957255,0.0074957255
0.007485218,0.007485218
0.007483662,0.007483662
0.0074731573,0.0074731573
0.0074745775,0.0074745775
0.007458109,0.007458109
0.0074520786,0.0074520786
0.007456476,0.007456476
0.0074429917,0.0074429917
0.0074458965,0.0074458965
0.007439864,0.007439864
0.0074278805,0.0074278805
0.007421849,0.007421849
0.00741879,0.00741879
0.0074112723,0.0074112723
0.007400783,0.007400783
0.007393264,0.007393264
0.0073872334,0.0073872334
